sample_id,dataset,task_type,source_index,dev_index,input_1,input_2,choices,gold_label,negation_cues,importance,source_annotation,selection_method
N012,CommonsenseQA,question_answering,166,,"John was not happy with his marriage. He and his wife drifted apart.     All and all, recent turns could be described as what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""inappropriate"", ""sadness"", ""unsatisfied"", ""unfortunate"", ""disenchanted""]}",D,not [2],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N013,CommonsenseQA,question_answering,42,,John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""mountain"", ""fancy"", ""sandplain"", ""cliff"", ""gorge""]}",D,n't [12],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N014,CommonsenseQA,question_answering,78,,Name a location where you would not want to find mice.,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""loft"", ""attic"", ""bell cat"", ""countryside"", ""laboratory""]}",B,not [6],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N015,CommonsenseQA,question_answering,71,,If i were to spit a lot without noticing i may have extra what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""phlegm"", ""saliva nd mouth"", ""disease"", ""germs"", ""spittle""]}",B,without [7],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N016,SST-2,sentiment_analysis,72,532,"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener .",,,positive,unfamiliar [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N017,CommonsenseQA,question_answering,30,,"There was a long cottage somewhere.  People thought it was haunted.  It was overgrown, there was nothing near it.  It's was far into the what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""mountains"", ""countryside"", ""train"", ""painting"", ""village""]}",B,nothing [19],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N018,QNLI,natural_language_inference,170,4440,Which measure must be adopted when there is a choice between several?,"The principle of proportionality is also recognised in Article 5 of the EC Treaty, stating that ""any action by the Community shall not go beyond what is necessary to achieve the objectives of this Treaty"".",,not_entailment,not [24],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N019,SST-2,sentiment_analysis,150,340,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .",,,negative,hopelessly [2] | unbroken [20],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N020,QNLI,natural_language_inference,477,2120,What is another function that primes have that the number 1 does not?,"Furthermore, the prime numbers have several properties that the number 1 lacks, such as the relationship of the number to its corresponding value of Euler's totient function or the sum of divisors function.",,entailment,not [12],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N021,SST-2,sentiment_analysis,23,210,"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",,,positive,not [9],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N022,CommonsenseQA,question_answering,135,,Where would you get a balalaika if you do not have one?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""orchestra"", ""music store"", ""buy music"", ""make music"", ""symphony""]}",B,not [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N023,SST-2,sentiment_analysis,142,147,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .,,,negative,n't [19],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N024,SST-2,sentiment_analysis,157,693,"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling .",,,negative,unnecessary [3],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N025,QNLI,natural_language_inference,185,2720,Dendritic cells present antigens to what cells of the adaptive nervous system?,"They are named for their resemblance to neuronal dendrites, as both have many spine-like projections, but dendritic cells are in no way connected to the nervous system.",,not_entailment,no [24],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N026,CommonsenseQA,question_answering,1,,"John was a bit think in the head, but he knew that he never saw the lady before.  They were what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""pay debts"", ""slender"", ""unacquainted"", ""free flowing"", ""sparse""]}",C,never [14],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N027,SST-2,sentiment_analysis,2,166,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs .",,,negative,comprehensible [12] | no [15],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N028,SST-2,sentiment_analysis,62,676,"well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull .",,,negative,unendurable [3],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N029,SST-2,sentiment_analysis,17,274,"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .",,,negative,unlikeable [13],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N030,QNLI,natural_language_inference,148,4631,When did Luther introduce the new worship?,"Merciful God, what misery I have seen,"" Luther wrote, ""the common people knowing nothing at all of Christian doctrine ... and unfortunately many pastors are well-nigh unskilled and incapable of teaching.",,not_entailment,nothing [18] | unfortunately [26] | unskilled [33] | incapable [35],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N031,SST-2,sentiment_analysis,61,503,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away .",,,negative,no [2] | no [5],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N032,SST-2,sentiment_analysis,201,429,"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .",,,negative,not [6] | nonexistent [13],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N033,CommonsenseQA,question_answering,160,,Where would stones not be arranged in a path?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""quarries"", ""field"", ""park"", ""bridge"", ""made from rocks""]}",B,not [3],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N034,CommonsenseQA,question_answering,97,,Where might an unused chess set be stored?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""toy store"", ""michigan"", ""living room"", ""attic"", ""cupboard""]}",E,unused [3],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N035,SST-2,sentiment_analysis,172,564,the plot convolutions ultimately add up to nothing more than jerking the audience 's chain .,,,negative,nothing [7],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N036,QNLI,natural_language_inference,17,2942,What is more often seen in root tip maristems?,"Chloroplasts do not normally develop from proplastids in root tip meristems—instead, the formation of starch-storing amyloplasts is more common.",,entailment,not [2],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N037,SST-2,sentiment_analysis,49,797,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .",,,negative,not [2] | n't [16],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N038,SST-2,sentiment_analysis,39,190,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '",,,negative,n't [7],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N039,SST-2,sentiment_analysis,110,641,the magic of the film lies not in the mysterious spring but in the richness of its performances .,,,positive,not [6],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N040,SST-2,sentiment_analysis,106,621,"kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",,,positive,n't [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N041,SST-2,sentiment_analysis,50,772,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",,,positive,not [0],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N042,SST-2,sentiment_analysis,123,121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,,,negative,without [14],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N043,SST-2,sentiment_analysis,34,719,"whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting .",,,negative,unrelenting [9],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N044,SST-2,sentiment_analysis,60,699,"... routine , harmless diversion and little else .",,,positive,harmless [3],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N045,CommonsenseQA,question_answering,66,,Where might the stapler be if I cannot find it?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""office building"", ""office supply store"", ""desk drawer"", ""with dwight"", ""desktop""]}",C,not [8],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N046,CommonsenseQA,question_answering,143,,"Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""stand up"", ""produce"", ""construct"", ""make"", ""build""]}",C,he [19],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N047,SST-2,sentiment_analysis,55,298,serving sara does n't serve up a whole lot of laughs .,,,negative,n't [3],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N048,QNLI,natural_language_inference,605,144,What are malum prohibitum considerations?,"Some legal requirements come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.",,not_entailment,indisputably [18],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N049,QNLI,natural_language_inference,325,122,Where might a teacher teach that is not inside a building?,"In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.",,entailment,not [7],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N050,SST-2,sentiment_analysis,11,452,"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",,,negative,n't [6] | undetermined [30],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N051,SST-2,sentiment_analysis,13,745,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .,,,negative,no [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N052,QNLI,natural_language_inference,643,1802,Why did so many not approve of the bill?,"Opposition politicians, human rights groups, and nine Western countries criticised the security bill, arguing that it infringed on democratic freedoms.",,entailment,not [4],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N053,CommonsenseQA,question_answering,184,,If I want to watch a movie without leaving my home what might I use?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""drive in movie"", ""drive in movie"", ""television"", ""video store"", ""show""]}",C,without [7],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N054,SST-2,sentiment_analysis,184,209,"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .",,,negative,not [2] | not [14],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N055,SST-2,sentiment_analysis,64,616,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .",,,positive,unforgettable [22],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N056,SST-2,sentiment_analysis,187,146,"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .",,,positive,not [19],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N057,CommonsenseQA,question_answering,67,,What might happen if someone is not losing weight?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""loose skin"", ""beauty"", ""miss universe"", ""death"", ""healthier""]}",D,not [6],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N058,SST-2,sentiment_analysis,176,269,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",,,negative,no [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N059,CommonsenseQA,question_answering,77,,"The child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""set table"", ""form opinions"", ""make honey"", ""become adult"", ""gather flowers""]}",A,n't [3],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N060,CommonsenseQA,question_answering,140,,What would a person do if they do not have any friends?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""talk to people"", ""try again"", ""fall asleep"", ""stand alone"", ""thank god""]}",D,not [8],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N061,SST-2,sentiment_analysis,24,858,the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .,,,positive,unbelievably [7],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N062,CommonsenseQA,question_answering,150,,How can a human cross a river and not mess up their hair?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""wisconsin"", ""waterfall"", ""hatred"", ""bridge"", ""valley""]}",D,not [8],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N063,SST-2,sentiment_analysis,4,869,a subject like this should inspire reaction in its audience ; the pianist does not .,,,negative,not [14],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N064,SST-2,sentiment_analysis,46,25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .",,,negative,uncertain [3],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N065,SST-2,sentiment_analysis,82,854,"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",,,negative,no [16],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N066,CommonsenseQA,question_answering,132,,"Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""closed room"", ""sky"", ""dard"", ""his grave"", ""house""]}",A,could [22],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N067,CommonsenseQA,question_answering,31,,"If a fried egg was runny and there was no toast to sop it up, after the meal there'd be a messy what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""henhouse"", ""garden"", ""plate"", ""supermarket"", ""bird's nest""]}",C,no [9],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N068,QNLI,natural_language_inference,35,1855,What parts of plants have chloroplasts?,Not all cells in a multicellular plant contain chloroplasts.,,not_entailment,Not [0],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N069,CommonsenseQA,question_answering,89,,There was no shade for Jenny.  She was forced to lie there exposed to what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""full sunlight"", ""bright sunshine"", ""sunny place"", ""eat cake"", ""direct sunlight""]}",A,no [2],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N070,SST-2,sentiment_analysis,7,301,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .",,,negative,unfortunately [25] | n't [27],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N071,SST-2,sentiment_analysis,50,19,"in its best moments , resembles a bad high school production of grease , without benefit of song .",,,negative,without [14],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N072,CommonsenseQA,question_answering,82,,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""frustration"", ""waiting"", ""hair"", ""time"", ""patience""]}",D,n't [7],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N073,SST-2,sentiment_analysis,71,92,"you wo n't like roger , but you will quickly recognize him .",,,negative,n't [2],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N074,CommonsenseQA,question_answering,60,,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""need for food"", ""fitness"", ""sweating"", ""fastfood"", ""thirst""]}",A,ca [20],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N075,SST-2,sentiment_analysis,69,486,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work .,,,negative,n't [3] | not [7],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N076,CommonsenseQA,question_answering,175,,"If you were looking for a blowfish, you wouldn't look on dry land, you'd look in a what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""fish market"", ""jungle"", ""sea water"", ""body of water"", ""soup""]}",D,n't [10],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N077,CommonsenseQA,question_answering,13,,If you spend all your time buying and not saving what is is likely to happen?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""using money"", ""feel better"", ""ocean"", ""losing money"", ""go broke""]}",E,not [8],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N078,CommonsenseQA,question_answering,133,,"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""exhilaration"", ""interactions"", ""head injuries"", ""death"", ""having fun""]}",C,not [8],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N079,QNLI,natural_language_inference,142,589,What remote control vehicle did he make?,"He also built a wireless controlled boat, one of the first ever exhibited.",,entailment,wireless [4],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N080,SST-2,sentiment_analysis,49,373,not since freddy got fingered has a major release been so painful to sit through .,,,negative,not [0],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N081,CommonsenseQA,question_answering,64,,John didn't care about style.  He felt that form was less important than what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""shapeless"", ""quality"", ""function"", ""change shape"", ""chaos""]}",C,n't [2],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N082,SST-2,sentiment_analysis,15,571,"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",,,negative,n't [13] | not [26],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N083,CommonsenseQA,question_answering,39,,Batman bought beer.  There were no bottles available.  He had to settle for what?.,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""shelf"", ""soccer game"", ""keg"", ""can"", ""refrigerator""]}",D,were [6],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N084,QNLI,natural_language_inference,71,1968,What was the only region in Europe not conquered by the Germanic tribes?,"Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia.",,entailment,not [7],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N085,QNLI,natural_language_inference,85,2013,What did the Mongol elites wish Buyantu didn't do?,"He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.",,entailment,n't [8],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N086,CommonsenseQA,question_answering,84,,"If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""lawn"", ""kids"", ""asshole"", ""spain"", ""office complex""]}",A,n't [16],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N087,SST-2,sentiment_analysis,70,608,"highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up .",,,positive,not [8],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N088,SST-2,sentiment_analysis,92,201,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .",,,positive,not [21],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N089,QNLI,natural_language_inference,192,4229,What do unstable 6-carbon molecules become?,"The ATP and NADPH made in the light reactions is used to convert the 3-PGA into glyceraldehyde-3-phosphate, or G3P sugar molecules.",,not_entailment,unstable [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N090,CommonsenseQA,question_answering,80,,Where would you get a shower curtain if you do not have one?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""department store"", ""restaurant"", ""hotel"", ""dime store"", ""bathtub""]}",A,not [10],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N091,CommonsenseQA,question_answering,170,,"The surgeon's clients had begun to reduce, it seemed girls no longer want to what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""reduction"", ""make larger"", ""augment"", ""gain weight"", ""expand""]}",C,no [12],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N092,SST-2,sentiment_analysis,18,795,"the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .",,,negative,no [3] | no [7],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N093,SST-2,sentiment_analysis,53,864,"dull , lifeless , and amateurishly assembled .",,,negative,lifeless [2],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N094,SST-2,sentiment_analysis,130,440,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",,,positive,none [35],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N095,QNLI,natural_language_inference,208,2548,What feature of the Amazon made people believe it couldn't have many inhabitants?,"Some 5 million people may have lived in the Amazon region in AD 1500, divided between dense coastal settlements, such as that at Marajó, and inland dwellers.",,not_entailment,n't [10],important,Hossain et al. released GitHub annotation,all important; fixed-seed sample of eligible unimportant
N096,SST-2,sentiment_analysis,22,588,"... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know .",,,positive,n't [5],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N097,SST-2,sentiment_analysis,57,584,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line .,,,negative,hapless [9],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
N098,CommonsenseQA,question_answering,176,,James couldn't get comfortable.  There was too much dirt.  He needed to clean out what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""ground"", ""subway"", ""bank"", ""bed"", ""street""]}",D,n't [2],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N099,CommonsenseQA,question_answering,100,,"Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult.",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""arrive early"", ""learn to walk"", ""boy or girl"", ""bring joy"", ""talk nonsense""]}",E,n't [12],unimportant,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N100,CommonsenseQA,question_answering,159,,The table wasn't level.  some parts were higher and some were lower with no rhyme or reason.   It was very what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""electrical circuit"", ""build evenly"", ""uneven"", ""unbalanced"", ""tilted""]}",C,n't [3] | with [15],important,Hossain et al. released GitHub annotation,fixed-seed sample of important; all unimportant
N101,SST-2,sentiment_analysis,193,713,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,,,negative,undeniably [4],unimportant,Hossain et al. released GitHub annotation,all important; fixed-seed sample of unimportant
