sample_id,dataset,importance,input_1,input_2,choices,gold_norm,pred_norm,negation_cues,error_category,qualitative_note
N194,CommonsenseQA,unimportant,"The child didn't know the problems his mother was going through, all he had was what for her?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""care"", ""balloon"", ""loved"", ""become adult"", ""learn""]}",C,A,n't [3],Plausible alternative / answer granularity,Care and loved/love are semantically close in the awkwardly worded item.
N202,CommonsenseQA,important,A supermarket is uncommon in what type of collection of shops?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""strip mall"", ""city or town"", ""shoppingcentre"", ""boutique"", ""vermont""]}",A,D,uncommon [3],Negation scope / compositional interpretation,The lexical negator 'uncommon' determines which shop collection is being asked about.
N208,SST-2,unimportant,"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",,,positive,negative,unlikely [24],Mixed or contrastive sentiment,Strongly negative words about violence compete with the positive phrase 'likable hero'.
N219,CommonsenseQA,unimportant,"George checked the rotor of the Apache, which wasn't powered by internal combustion, but by what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""jet engine"", ""helicopter"", ""electric motor"", ""rotator"", ""electrical circuit""]}",A,C,n't [10],General commonsense/world knowledge,The error concerns knowledge about Apache helicopter propulsion rather than the negation itself.
N268,QNLI,unimportant,In what years did the show see audiences as high as 12 million?,"The first of these was the ""Dalekmania"" period (circa 1964–1965), when the popularity of the Daleks regularly brought Doctor Who ratings of between 9 and 14 million, even for stories which did not feature them.",,not_entailment,entailment,not [38],Dataset/gold ambiguity,The sentence supplies a plausible year range even though the gold label is not_entailment.
N282,SST-2,unimportant,"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all .",,,positive,negative,no [16],Mixed or contrastive sentiment,'Heart in the right place' is positive while 'brains are in no particular place' is negative.
N292,CommonsenseQA,important,Where would using a boat not require navigation skills?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""water"", ""ocean"", ""garage"", ""harbor"", ""river""]}",E,C,not [5],Negation scope / compositional interpretation,"The negative condition creates a pragmatic trap: a garage requires no navigation, but is not a normal setting for using a boat."
N312,SST-2,important,"in all , this is a watchable movie that 's not quite the memorable experience it might have been .",,,negative,positive,not [10],Negation scope / compositional interpretation,"The positive word 'watchable' competes with the important negation 'not quite ... memorable', which determines the negative label."
N329,CommonsenseQA,unimportant,"The child pretended he was reading newspaper, he couldn't actually do it without what?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""patience"", ""falling down"", ""literacy"", ""buying"", ""knowing how to read""]}",E,C,n't [10],Plausible alternative / answer granularity,Literacy and knowing how to read are near-equivalent.
N334,SST-2,important,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .,,,positive,negative,no [12] | no [16],Negation scope / compositional interpretation,"The sentence uses repeated negative forms in an idiomatic construction ('no ... untugged', 'no ... unplundered')."
N336,CommonsenseQA,unimportant,Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""surface of earth"", ""teardrops"", ""snowflake"", ""typhoon"", ""motor""]}",D,E,They [33],General commonsense/world knowledge,The model preferred motor noise over the gold typhoon answer; the main issue is situational commonsense.
N341,CommonsenseQA,important,"While John Candy and Dan Aykroyd didn't run into a gazelle, you'd have to go where to see one?",,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""eastern hemisphere"", ""the city"", ""open plain"", ""television program"", ""great outdoors""]}",E,C,n't [7],Plausible alternative / answer granularity,Open plain and great outdoors are both plausible gazelle locations.
N345,CommonsenseQA,important,James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""manual"", ""process information"", ""power down"", ""control model"", ""reason exists""]}",D,A,might [20],Dataset/gold ambiguity,"The options and wording are opaque, making the intended answer difficult to identify from the question alone."
N359,SST-2,important,nothing is sacred in this gut-buster .,,,negative,positive,nothing [0],Negation scope / compositional interpretation,'Nothing is sacred' is a broad negative expression whose sentiment depends on pragmatic/idiomatic interpretation.
N367,QNLI,important,What did Luther try to avoid in setting up his church?,He also did not wish to replace one controlling system with another.,,not_entailment,entailment,not [3],Dataset/gold ambiguity,"The sentence appears to answer what Luther wished to avoid, making the gold not_entailment label debatable."
N375,CommonsenseQA,important,What type of non-vegetarian soup is one likely to find a potato?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""beef stew"", ""own kitchen"", ""clam chowder"", ""kitchen cabinet"", ""pantry""]}",C,A,non [3] | - [4],General commonsense/world knowledge,The answer depends on food knowledge about which non-vegetarian soup commonly contains potato.
N389,CommonsenseQA,important,Why would a band be performing when there are no people nearby?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""record album"", ""play music"", ""hold concert"", ""blaring"", ""practice""]}",A,E,no [9],Plausible alternative / answer granularity,Practicing and recording an album can both explain performing without nearby people.
N392,CommonsenseQA,important,What will god never do according to religion?,,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""anything"", ""judge people"", ""work miracles"", ""judge men"", ""everywhere""]}",B,A,never [3],Negation scope / compositional interpretation,"The absolute negative 'never' interacts with a broad distractor ('anything'), creating a quantifier/commonsense challenge."
